N_CARD_SKIMMING,SUCCESS_ATTACK,N_INCOME,COORD_X,RECOV_AMOUNT,N_DENSITY,ATM_ID,PROB_ATTACKED,BURGLARY,VANDALISM,UNP_RATE,N_FREQ_ATTACK,N_MANUAL_ATK,RECOVERED,N_FRAUD_ATTACK,N_ATTACK_L2,N_AGE,FREGUESIA,MANUAL_ATK,INCOME,PARISH,TRANS_REVER,N_LOG_ISOLATED,N_PHYS_ATTACK,CARD_SKIMMING,N_CASH_TRAPPING,INDIRECT_LOSS,ATTACK_DURATION,COORD_Y,CARD_TRAPPING,N_CARD_TRAPPING,ACCOUNT_DATE,PERSONA1,FREQ_ATTACK,LOG_ISOLATED,CASH_TRAPPING,LOGIC_ATK,PERSONA2,DETEC_DATE,WITHIN500,N_TRANS_REVER,EXPLO_GAS,RECOV_DATE,Police_Dis,N_LOG_NETWORK,N_VANDALISM,ADDRESS,NET_LOSS,NUMBER,RAM_RAIDS,COM_DENS,EVENT_DATE,PHYS_ATTACK,N_ATTACK_L0,N_IMPLEM_TYPE,AGE,GROSS_LOSS,N_COM_DENS,N_UNP_RATE,DENSITY,N_BURGLARY,WITHIN1000,MWay_Dist,N_ATTACK_L1,LOG_NETWORK,N_EXPLO_GAS,YEAR_ACOUNT,N_LOGIC_ATK,BANK,FRAUD_ATTACK,N_RAM_RAIDS
0,,5,-9.1492,,1,BP07,0.0,0,0,8,0,0,,0,,3,Santo AntMnio,0,54,18,0,0,0,0,0,,,38.72352,0,0,,,0,0,0,0,,,500,0,0,,122.36,0,0,"Avenida Da Liberdade 245, Lisbon",,1,0,18,,0,,,47,,2,2,0.25,0,1000,2084.73,,0,0,,0,BANCO BIC PORTUGUES,0,0
0,,3,-9.11366,,2,MG05,7.96932245295e-201,0,0,18,0,0,,0,,1,Olivais,0,32,0,0,0,0,0,0,,,38.76197,0,0,,,0,0,0,0,,,500,0,0,,439.95,0,0,"Rua Cidade De Bolama Loja 2.25, Lisbon",,2,0,28,,0,,,25,,4,4,15.32,0,1000,1251.35,,0,0,,0,MONTEPIO GERAL,0,0
0,,5,-9.13934,,1,ST14,0.0,0,0,9,0,0,,0,,3,Arroios,0,56,22,0,0,0,0,0,,,38.72225,0,0,,,0,0,0,0,,,0,0,0,,365.22,0,0,"Centro Congressos - PC Das Industrias, Lisbon",,1,0,9,,0,,,47,,2,2,1.51,0,1000,2939.66,,0,0,,0,BANCO SANTANDER TOTTA,0,0
1,1,5,-9.15289,0,2,BPI59,1.0,0,0,9,1,1,0,1,010101,2,Lumiar,1,48,5,0,0,0,1,0,0,20,38.76316,0,0,30-May-2010 12:00,2,1,0,0,0,5,29-Apr-2010 16:00,500,0,0,,516.17,0,0,"Rua Agostinho Neto Lote 6/7, Lisbon",16300,1,0,9,19-Apr-2010 15:00,0,1,4,34,16300,2,2,14.95,0,1000,488.69,0101,0,0,2014,0,BANCO BPI S.A.,1,0
0,,2,-9.15705,,3,CGD11,3.66836960973e-119,0,0,17,0,0,,0,,1,Lumiar,0,30,9,0,0,0,0,0,,,38.78336,0,0,,,0,0,0,0,,,0,0,0,,696.54,0,0,"Rua Luis Oliveira Guimaraes Lote 5, Lisbon",,2,0,9,,0,,,26,,2,4,25.85,0,1000,1383.12,,0,0,,0,CAIXA GERAL DE DEPOSITOS,0,0
0,,4,-9.16332,,3,BPI100,1.0,0,0,13,0,0,,0,,3,Avenidas Novas,0,44,15,0,0,0,0,0,,,38.73865,0,0,,,0,0,0,0,,,500,0,0,,551.69,0,0,"Avenida Columbano Bordalo Pinheiro 74, Lisbon",,1,0,9,,0,,,48,,2,3,19.68,0,1000,625.41,,0,0,,0,BANCO BPI S.A.,0,0
0,,4,-9.13441,,2,CGD72,0.0,0,0,7,0,0,,0,,4,Arroios,0,46,22,0,0,0,0,0,,,38.72499,0,0,,,0,0,0,0,,,0,0,0,,526.16,0,0,"Rua alvaro Coutinho 14, Lisbon",,1,0,28,,0,,,51,,4,2,10.44,0,1000,3379.11,,0,0,,0,CAIXA GERAL DE DEPOSITOS,0,0
0,1,3,-9.20565,0,4,NB16,1.0,0,0,10,1,1,0,1,010102,2,Benfica,1,38,21,0,0,0,0,0,0,0.3,38.75406,1,1,30-Apr-2011 00:00,4,1,0,0,0,,25-Apr-2011 12:30,0,0,0,,1087.99,0,0,"Rua Das Pedralvas 15, Lisbon",420,1,0,9,25-Apr-2011 12:15,0,1,1,37,420,2,3,35.12,0,1000,476.39,0101,0,0,2014,0,NOVO BANCO,1,0
0,1,4,-9.18781,0,4,NCI31,1.0,0,0,13,1,0,0,0,020101,2,Carnide,0,44,11,0,0,0,0,0,0,1440,38.747,0,0,30-Jun-2013 00:00,2,1,0,0,1,,15-May-2013 00:00,0,0,0,,903.66,1,0,"Estrada Benfica 158, Lisbon",100000,1,0,18,01-Jan-2013 14:00,0,2,5,33,100000,2,3,27.13,0,1000,595.16,0201,1,0,2015,1,BANCO NACIONAL DE CREDITO IMOBILIARIO,0,0
0,1,3,-9.11965,0,1,NB44,1.0,0,0,20,1,1,0,1,010103,1,Olivais,1,36,0,0,0,0,0,1,0,2,38.77697,0,0,30-Sep-2010 00:00,4,1,0,1,0,,08-Sep-2010 15:00,0,0,0,,1071.32,0,0,"Praca Norte 6, Lisbon",160,2,0,9,03-Sep-2010 20:30,0,1,3,31,160,2,5,5.02,0,1000,690.27,0101,0,0,2010,0,NOVO BANCO,1,0
