N_RAM_RAIDS,RAM_RAIDS,CASH_TRAPPING,VANDALISM,FRAUD_ATTACK,FREGUESIA,MANUAL_ATK,NUMBER,N_CARD_TRAPPING,BURGLARY,N_CASH_TRAPPING,PERSONA2,EVENT_DATE,UNP_RATE,CARD_TRAPPING,N_LOG_ISOLATED,PHYS_ATTACK,N_PHYS_ATTACK,RECOVERED,N_UNP_RATE,GROSS_LOSS,COORD_Y,COORD_X,FREQ_ATTACK,N_LOGIC_ATK,RECOV_AMOUNT,N_FRAUD_ATTACK,N_TRANS_REVER,LOGIC_ATK,N_ATTACK_L1,DETEC_DATE,MWay_Dist,CARD_SKIMMING,PROB_ATTACKED,TRANS_REVER,EXPLO_GAS,LOG_ISOLATED,YEAR_ACOUNT,AGE,ACCOUNT_DATE,N_DENSITY,N_BURGLARY,PERSONA1,N_ATTACK_L2,N_CARD_SKIMMING,DENSITY,WITHIN1000,N_COM_DENS,INCOME,COM_DENS,INDIRECT_LOSS,LOG_NETWORK,ATM_ID,N_AGE,N_MANUAL_ATK,N_INCOME,BANK,N_EXPLO_GAS,N_ATTACK_L0,N_VANDALISM,PARISH,WITHIN500,N_FREQ_ATTACK,N_IMPLEM_TYPE,NET_LOSS,RECOV_DATE,Police_Dis,ADDRESS,ATTACK_DURATION,SUCCESS_ATTACK,N_LOG_NETWORK
0,0,0,0,0,Estrela,0,2,0,0,0,,,12,0,0,0,0,,3,,38.7052,-9.1586,0,0,,0,0,0,,,1722.31,0,4.0432732239083963e-241,0,0,0,,51,,1,0,,,0,0.03,1000,2,36,18,,0,CP76,4,0,3,BANCO COMERCIAL PORTUGUES,0,,0,16,0,0,,,,691.48,"Avenida 24 De Julho S/N, Lisbon",,,0
0,0,0,0,0,Parque das Na,0,1,0,0,0,,,5,0,0,0,0,,2,,38.76254,-9.09375,0,0,,0,0,0,,,2761.79,0,1.5772551020127033e-259,0,0,0,,54,,1,0,,,0,0.14,1000,4,64,37,,0,CP77,4,0,6,BANCO COMERCIAL PORTUGUES,0,,0,1,0,0,,,,1368.81,"Esplanada Dom Carlos I, Lisbon",,,0
0,0,0,0,0,Alvalade,0,0,0,0,0,,,2,0,0,0,0,,1,,38.74588,-9.13532,0,0,,0,0,0,,,1973.83,0,3.757254782324627e-138,0,0,0,,41,,3,0,,,0,17.61,1000,2,70,9,,0,CP78,3,0,6,BANCO COMERCIAL PORTUGUES,0,,0,8,0,0,,,,1074.77,"Avenida Frei Miguel Contreiras, Lisbon",,,0
0,0,0,0,0,Parque das Na,0,0,0,0,0,,,2,0,0,0,0,,1,,38.77392,-9.10581,0,0,,0,0,0,,,1337.24,0,3.3595017710473143e-35,0,0,0,,41,,1,0,,,0,4.02,1000,2,60,9,,0,CP79,3,0,6,BANCO COMERCIAL PORTUGUES,0,,0,13,0,0,,,,848.46,"Praca Jose Queiros, Lisbon",,,0
0,0,0,0,0,Carnide,0,0,0,0,0,,,7,0,0,0,0,,2,,38.74896,-9.1748,0,0,,0,0,0,,,979.18,0,1.0,0,0,0,,30,,2,0,,,0,12.01,0,2,50,9,,0,MG88,1,0,5,MONTEPIO GERAL,0,,0,11,0,0,,,,1297.64,"Rua Xavier De Araujo 9-11, Lisbon",,,0
0,0,0,0,0,Campolide,0,2,0,0,0,,,13,0,0,0,0,,3,,38.73561,-9.15601,0,0,,0,0,0,,,1226.76,0,1.6815295268704873e-231,0,0,0,,47,,2,0,,,0,12.68,1000,2,50,18,,0,NCI07,3,0,5,BANCO NACIONAL DE CREDITO IMOBILIARIO,0,,0,15,500,0,,,,368.61,"Rua Ramalho Ortigao 12, Lisbon",,,0
0,0,0,0,0,Lumiar,0,1,0,0,0,,,9,0,0,0,0,,2,,38.76104,-9.17085,0,0,,0,0,0,,,405.83,0,1.0,0,0,0,,34,,2,0,,,0,10.62,1000,2,52,9,,0,BB01,2,0,5,BARCLAYS BANK,0,,0,5,0,0,,,,550.80,"Rua Professor Joao Barreira 5 B, Lisbon",,,0
0,0,0,0,0,Marvila,0,2,0,0,0,,,20,0,0,0,0,,5,,38.74944,-9.10434,0,0,,0,0,0,,,2668.50,0,0.0,0,0,0,,51,,3,0,,,0,16.55,1000,2,26,9,,0,BB02,4,0,2,BARCLAYS BANK,0,,0,1,0,0,,,,732.93,"Rua Vale Formoso De Cima 154 C, Lisbon",,,0
0,0,0,0,0,Olivais,0,2,0,0,0,,,18,0,0,0,0,,4,,38.77049,-9.11006,0,0,,0,0,0,,,1232.49,0,1.0,0,0,0,,26,,2,0,,,0,6.85,0,2,28,9,,0,BB03,1,0,2,BARCLAYS BANK,0,,0,0,0,0,,,,957.41,"Avenida Doutor Francisco Luis Gomes, Lisbon",,,0
0,0,0,0,0,Belrm,0,2,0,0,0,,,14,0,0,0,0,,4,,38.70679,-9.20806,0,0,,0,0,0,,,1262.26,0,1.4134818641087288e-07,0,0,0,,52,,3,0,,,0,20.95,1000,2,34,9,,0,BB04,4,0,3,BARCLAYS BANK,0,,0,2,500,0,,,,851.96,"Avenida Ilha Da Madeira 36 a, Lisbon",,,0
